original,revised,aligned,id,annotator
"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds , but remained alive .",The first attempt at execution failed : Kemmler was electrocuted for 17 seconds but remained alive .,"The first attempt at execution failed : Kemmler was electrocuted for 17 seconds {,=>} but remained alive .",wiki_dev_683,magali
"To make things even worse , the play did n't start at 19 : 30 as it was supposed to but instead it started 45 minutes late , at 20 : 15 , and there were n't even your famous discounts available .","To make things even worse , the play did n't start at 19 : 30 as it was supposed to , but instead it started 45 minutes late , at 20 : 15 , and your famous discounts were n't even available .","To make things even worse , the play did n't start at 19 : 30 as it was supposed to {=>,} but instead it started 45 minutes late , at 20 : 15 , and {there=>your famous discounts} were n't even {your famous discounts=>} available .",fce_test_711,magali
The centre stands 15 metres above the ground and its sole support comes from the structure around its two lift shafts - it is approximately the same height as the Pavilion directly opposite it on the other side of the ground .,"The center stands 15 meters above the ground, and its sole support comes from the structure around its two lift shafts - it is approximately the same height as the Pavilion directly opposite it on the other side of the ground .","The {centre=>center} stands 15 {metres=>meters} above the {ground=>ground,} and its sole support comes from the structure around its two lift shafts - it is approximately the same height as the Pavilion directly opposite it on the other side of the ground .",wiki_dev_469,magali
"Ray Stantz owns an science / occult book shop in Manhattan , and along with Winston Zeddmore they put on special appearances at children 's birthday parties .","Ray Stantz owns a science / occult book shop in Manhattan , and, along with Winston Zeddmore, they put on special appearances at children 's birthday parties .","Ray Stantz owns {an=>a} science / occult book shop in Manhattan , {and=>and,} along with Winston {Zeddmore=>Zeddmore,} they put on special appearances at children 's birthday parties .",wiki_test_769,magali
I would like to ask you what type of clothes should I bring ?,I would like to ask you what type of clothes I should bring .,I would like to ask you what type of clothes {=>I} should {I=>} bring {?=>.},fce_test_158,magali
"He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is trully retired .","He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória , and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is truly retired .","He played for several clubs in Brazil , including ( in chronological order ) Coritiba , Santos , Vitória {=>,} and Grêmio , and after that , his destiny is uncertain , and it is unknown if he is {trully=>truly} retired .",wiki_test_28,magali
"Similar standards exist for automotive ( ISO 26262 ) , Medical ( IEC 62304 ) and nuclear ( IEC 61513 ) .","Similar standards exist for automotive ( ISO 26262 ) , medical ( IEC 62304 ) , and nuclear ( IEC 61513 ) industries .","Similar standards exist for automotive ( ISO 26262 ) , {Medical=>medical} ( IEC 62304 ) {=>,} and nuclear ( IEC 61513 ) {=>industries} .",wiki_test_196,magali
"However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse turn up at Nathan 's farewell party .","However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse turned up at Nathan 's farewell party .","However , much to everyone 's surprise , Oakfield , Okazaki , and S.mouse {turn=>turned} up at Nathan 's farewell party .",wiki_dev_917,magali
Technical and Warm Home People 's way of life has considerably been changed by rapdily developing mordern technology .,Technical and Warm Home People 's way of life has considerably been changed by rapidly developing modern technology .,Technical and Warm Home People 's way of life has considerably been changed by {rapdily=>rapidly} developing {mordern=>modern} technology .,fce_test_480,magali
The restaurant should open until the show finish .,The restaurant should be open until the show is finished .,The restaurant should {=>be} open until the show {finish=>is finished} .,fce_test_746,magali
