original,revised,aligned,id
"Then I woke up ; well , I shall never know what happened to the "" poor cow "" !","Then , I woke up ; well , I shall never know what happened to the "" poor cow "" !","Then {=>,} I woke up ; well , I shall never know what happened to the "" poor cow "" !",fce_dev_200
I have n't a clue about it .,I do n't have a clue about it .,I {=>do n't} have {n't=>} a clue about it .,fce_test_412
"As the Governor-General of Pakistan , Jinnah led efforts to rehabilitate millions of refugees , and to frame national policies on foreign affairs , security and economic development .","As the Governor-General of Pakistan , Jinnah led efforts to rehabilitate millions of refugees , and to frame national policies on foreign affairs and economic development .","As the Governor-General of Pakistan , Jinnah led efforts to rehabilitate millions of refugees , and to frame national policies on foreign affairs {, security=>} and economic development .",wiki_test_534
The sommers and winters get warmer .,The summers and winters get warmer .,The {sommers=>summers} and winters get warmer .,fce_dev_660
"Buried deeply below bedrock , a large rift can be seen clearly in The Bouguer Gravity Anomaly Map of Iowa .","Buried deep below bedrock , a large rift can be seen clearly in The Bouguer Gravity Anomaly Map of Iowa .","Buried {deeply=>deep} below bedrock , a large rift can be seen clearly in The Bouguer Gravity Anomaly Map of Iowa .",wiki_dev_274
I am looking to hear from you .,I am looking forward to hearing from you .,I am looking {=>forward} to {hear=>hearing} from you .,fce_dev_48
"Since it clearly rejected the idea of a Jewishhomeland and provided for no resolution of the Jewish refugee problem , neither the Jews nor the UnitedStates could be expected to live with that solution .","Since it clearly rejected the idea of a Jewish homeland and provided for no resolution of the Jewish refugee problem , neither the Jews nor the United States could be expected to live with that solution .","Since it clearly rejected the idea of a {Jewishhomeland=>Jewish homeland} and provided for no resolution of the Jewish refugee problem , neither the Jews nor the {UnitedStates=>United States} could be expected to live with that solution .",wiki_dev_475
I think that the car is one of the human inventions that has the most affected the way of life of people from industrial countries .,I think that the car is one of the human inventions that has most affected the way of life of people from industrial countries .,I think that the car is one of the human inventions that has {the=>} most affected the way of life of people from industrial countries .,fce_dev_301
"This is a list of notable Croatian Americans , including both original immigrants who obtained American citizenship and their American-born descentants .","This is a list of notable Croatian Americans , including both original immigrants who obtained American citizenship and their American-born descendants .","This is a list of notable Croatian Americans , including both original immigrants who obtained American citizenship and their American-born {descentants=>descendants} .",wiki_test_7
"The club was founded in Kansas City , Missouri as the Kansas City Scouts in 1974 , moved to Denver , Colorado as the Colorado Rockies after only two seasons , and then settled in New Jersey in 1982 .","The club was founded in Kansas City , Missouri , as the Kansas City Scouts in 1974 ; it moved to Denver , Colorado , as the Colorado Rockies after only two seasons and then settled in New Jersey in 1982 .","The club was founded in Kansas City , Missouri {=>,} as the Kansas City Scouts in 1974 {,=>; it} moved to Denver , Colorado {=>,} as the Colorado Rockies after only two seasons {,=>} and then settled in New Jersey in 1982 .",wiki_test_160
"However , secondly , famous people are not "" ailen "" so that they might do something , for example , ashame things in public space or argument with partner or family even put on swimming costume like us .","However , secondly , famous people are not "" aliens . "" So they might do somethings , for example , embarrassing things in public spaces or have an argument with a partner or family , and even put on swimming clothes like us .","However , secondly , famous people are not "" {ailen=>aliens .} "" {so that=>So} they might do {something=>somethings} , for example , {ashame=>embarrassing} things in public {space=>spaces} or {=>have an} argument with {=>a} partner or family {=>, and} even put on swimming {costume=>clothes} like us .",fce_dev_685
"It will let me get up and close with nature , and experience life in the wild .","It will let me get up close with nature , and experience life in the wild .","It will let me get up {and=>} close with nature , and experience life in the wild .",fce_dev_703
Such instability in part comes from the flexing and tension of the ice beam experiences cantilevered over the sea .,"Such instability , in part , comes from the flexing and tension of the ice beam experiences cantilevered over the sea .","Such instability {=>,} in part {=>,} comes from the flexing and tension of the ice beam experiences cantilevered over the sea .",wiki_test_635
"He has won the National Film Award for Best Actor in the 60th National Film Awards 2012 , for his performance in Paan Singh Tomar .","He won the National Film Award for Best Actor in the 60th National Film Awards in 2012 , for his performance in Paan Singh Tomar .","He {has=>} won the National Film Award for Best Actor in the 60th National Film Awards {=>in} 2012 , for his performance in Paan Singh Tomar .",wiki_test_681
A friend of me gave up one week before and asked me if I would like to go in his place .,A friend of mine gave up one week before and asked me if I would like to go in his place .,A friend of {me=>mine} gave up one week before and asked me if I would like to go in his place .,fce_test_439
"At first , I expected to find Danny Brook as the main actor , but she must have been changed since the actor was different .","At first , I expected to find Danny Brook as the main actor , but he must have been changed since the actor was different .","At first , I expected to find Danny Brook as the main actor , but {she=>he} must have been changed since the actor was different .",fce_test_63
"Since 1986 , it belongs to Editorial Prensa Ibérica , communication group that nowadays consists of 14 journalistic mastheads , with common criteria of independence , rigor and pluralism , plus maximum commitment to the different regions where they are edited .","Since 1986 , it belongs to Editorial Prensa Ibérica , communication group that nowadays consists of 14 journalistic mastheads , with common criteria of independence , rigor , and pluralism , plus maximum commitment to the different regions where they are edited .","Since 1986 , it belongs to Editorial Prensa Ibérica , communication group that nowadays consists of 14 journalistic mastheads , with common criteria of independence , rigor {=>,} and pluralism , plus maximum commitment to the different regions where they are edited .",wiki_test_713
"Firstly , I wanted to see DANN BLOCK playing as your advertisement already said , but there was a different actor instead of him at that evening .","Firstly , I wanted to see DANN BLOCK playing , as your advertisement already said , but there was a different actor instead of him that evening .","Firstly , I wanted to see DANN BLOCK playing {=>,} as your advertisement already said , but there was a different actor instead of him {at=>} that evening .",fce_test_154
